	Amphimedon_pep.fa_ed	Bombyx_pep.fa_ed	Caenorhabditis_ed	Capitella_pep.fa_ed	Ciona_pep.fa_ed	Crassostrea_pep.fa_ed	Danio_pep.fa_ed	Daphnia.fa_ed	Drosophila_pep.fa_ed	Helobdella_pep.fa_ed	Homo_pep2.fa_ed	Lingula_pep2.fa_ed	Lottia.fa_ed	Lottia_pep.fa_ed	Mnemiopsis_leidyi.prot.fa_ed	Monosiga_pep2.fa_ed	Mus.fa_ed	Mya_pep.fa_ed	Nasonia_pep.fa_ed	Nematostella_pep.fa_ed	Octopus_pep.fa_ed	Pelodiscus_pep.fa_ed	Petromyzon_pep.fa_ed	Priapulus	Rhodnius_pep.fa_ed	Saccoglossus_kowalevskii.prot.fa_ed	Salpingoeca_pep2.fa_ed	Stegodyphus_pep.fa_ed	Strongylocentrotus_pep.fa_ed	Tribolium_pep.fa_ed	Trichoplax_pep.fa_ed	hydra_pep2.fa_ed	Total
OG0001297	1	2	5	2	1	2	7	2	4	2	4	1	2	3	2	3	3	2	2	1	4	3	1	5	3	1	1	2	3	2	1	1	78
OG0001298	2	5	1	1	1	1	3	4	3	1	2	2	1	3	1	1	3	2	5	1	1	2	1	3	1	2	0	1	1	21	1	1	78
OG0001299	1	1	2	1	1	1	4	1	8	6	6	2	1	6	2	1	6	2	1	1	2	4	1	9	1	1	1	1	1	1	1	1	78
OG0001300	1	1	1	1	1	1	8	1	3	3	13	1	1	8	1	1	8	2	1	1	3	3	0	4	1	1	1	1	2	2	1	1	78
OG0001301	0	4	2	2	2	2	3	2	6	1	7	3	3	4	0	1	4	4	3	0	3	3	1	3	3	1	1	4	1	5	0	0	78
OG0001302	0	2	1	1	1	1	7	3	4	1	8	3	3	10	0	0	10	3	1	0	3	2	1	2	1	1	0	4	2	2	0	1	78
OG0001303	0	3	2	3	1	3	3	1	3	2	0	2	3	0	3	1	0	8	7	3	3	1	0	4	1	7	1	3	3	1	5	1	78
OG0001304	0	3	1	8	1	10	0	4	6	6	0	15	5	0	0	0	0	6	2	0	2	0	0	2	2	0	0	2	0	3	0	0	78
OG0001305	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	7	0	0	2	0	1	0	59	78
OG0001306	0	2	7	1	3	1	6	2	1	2	6	2	2	4	1	0	4	1	2	1	1	3	2	3	2	8	0	3	4	2	1	1	78
OG0001307	0	0	1	2	11	1	5	4	0	5	0	14	2	0	3	1	0	2	0	1	0	1	3	1	1	8	1	2	4	0	5	0	78
OG0001308	2	1	3	1	3	1	8	8	2	1	12	2	1	6	0	0	6	2	1	1	1	4	3	1	1	1	0	1	1	1	1	1	77
OG0001309	4	1	3	4	1	0	8	1	5	2	10	2	0	7	2	1	7	1	0	1	2	2	3	1	1	2	0	2	1	3	0	0	77
OG0001310	73	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	77
OG0001311	1	1	1	2	2	2	2	4	3	2	9	2	2	7	2	1	7	1	1	1	2	5	3	1	1	2	1	1	3	3	1	1	77
OG0001312	10	0	0	3	0	0	1	0	0	0	0	6	1	0	0	0	0	6	0	0	0	0	0	3	0	19	0	1	6	0	0	21	77
OG0001313	30	1	1	1	1	1	2	4	1	1	6	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	3	77
OG0001314	9	2	0	3	1	1	2	0	3	1	4	5	1	2	0	1	2	7	1	1	7	0	1	3	0	6	1	3	5	3	0	2	77
OG0001315	4	2	2	2	2	2	5	1	2	2	10	4	2	3	2	1	3	2	2	2	2	2	0	2	2	2	1	2	2	2	2	3	77
OG0001316	13	1	1	1	2	2	1	4	1	1	5	2	3	4	1	1	4	3	1	2	4	1	2	1	1	1	1	3	7	1	1	1	77
OG0001317	1	1	1	1	1	1	7	1	9	1	9	2	1	5	1	1	5	2	1	1	4	3	1	8	1	1	1	2	1	1	1	1	77
OG0001318	5	1	2	2	1	3	2	1	1	4	5	2	3	3	2	6	3	2	1	3	1	3	1	6	1	2	5	1	2	1	1	1	77
OG0001319	3	0	7	9	7	2	1	0	0	6	5	1	1	4	5	1	4	1	0	3	4	3	2	0	0	2	1	0	2	0	1	2	77
OG0001320	1	1	1	4	3	0	7	1	2	2	12	2	1	9	2	1	9	1	0	1	2	5	1	1	0	2	0	1	1	1	1	2	77
OG0001321	1	2	0	1	1	1	7	1	6	1	8	2	1	4	0	1	4	1	2	1	1	14	2	3	1	2	0	3	1	3	1	1	77
OG0001322	1	1	1	1	1	1	7	1	1	3	13	2	1	9	1	1	9	1	1	0	1	4	4	3	1	1	1	1	1	1	2	1	77
OG0001323	3	3	4	1	1	1	4	1	5	1	8	2	1	6	2	0	6	1	1	3	5	2	1	1	4	2	0	1	2	2	2	1	77
OG0001324	2	1	2	2	1	2	2	1	3	2	9	2	2	8	0	1	8	1	1	2	2	3	1	4	2	2	1	2	3	2	2	1	77
OG0001325	3	1	2	2	3	1	7	5	1	2	4	1	2	4	3	1	4	2	1	5	3	4	1	2	1	1	1	3	1	1	2	3	77
OG0001326	3	2	2	2	2	2	4	2	2	1	10	2	1	3	1	2	3	2	2	3	1	2	1	4	3	3	3	1	2	3	1	2	77
OG0001327	2	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	32	7	0	0	23	77
OG0001328	1	1	1	1	2	3	15	1	3	2	8	4	1	5	1	0	5	4	1	3	2	2	1	4	1	1	0	1	1	1	0	1	77
OG0001329	3	3	0	3	0	1	2	1	2	3	14	2	3	6	2	0	6	1	1	1	3	2	0	1	3	2	0	3	4	3	1	1	77
OG0001330	2	3	2	2	2	2	2	2	2	3	3	2	2	3	2	2	3	5	3	4	2	3	1	2	2	2	2	2	4	2	2	2	77
OG0001331	5	1	1	9	2	1	5	8	1	2	3	2	1	3	2	0	3	3	0	3	1	4	3	1	2	1	1	5	1	1	0	2	77
OG0001332	1	1	1	1	1	1	4	1	2	2	12	1	1	12	1	0	12	3	1	1	2	3	1	3	1	1	0	3	1	1	0	2	77
OG0001333	2	2	1	1	2	1	1	1	4	1	11	4	3	2	2	1	2	6	2	1	3	1	1	4	1	5	1	3	4	2	1	1	77
OG0001334	2	2	6	2	1	2	10	2	1	1	13	2	1	3	1	0	3	2	1	2	5	2	1	3	1	1	0	1	3	1	1	1	77
OG0001335	1	4	3	1	1	1	5	1	3	2	11	4	1	4	1	1	4	2	2	1	1	3	1	3	1	1	1	6	1	3	1	2	77
OG0001336	4	0	3	1	3	2	4	1	0	1	14	5	3	3	1	3	3	3	0	3	1	2	2	0	0	4	3	0	4	0	1	3	77
OG0001337	1	1	1	1	1	1	3	1	1	1	20	2	1	6	1	1	6	1	6	2	1	4	2	1	1	1	1	1	3	1	1	2	77
OG0001338	1	1	2	1	2	4	4	3	4	1	6	2	0	8	1	1	8	2	1	2	2	5	2	1	1	1	1	3	1	2	1	3	77
OG0001339	1	1	1	1	1	1	5	7	1	1	15	2	2	7	1	2	7	1	1	0	2	5	0	1	2	1	1	3	1	1	1	1	77
OG0001340	1	1	1	1	1	1	10	1	1	2	12	1	1	9	1	1	9	1	1	1	1	4	1	5	0	1	1	3	1	1	1	1	77
OG0001341	2	0	0	3	1	4	3	0	0	3	12	3	1	3	1	2	3	5	1	2	2	3	1	8	0	2	3	3	3	1	2	0	77
OG0001342	1	1	1	2	1	1	4	1	1	1	15	3	1	6	2	1	6	3	1	1	2	3	1	2	1	2	1	5	4	1	1	1	77
OG0001343	1	3	0	1	3	1	2	9	2	1	11	2	1	2	0	2	2	4	1	1	3	1	0	1	0	2	2	9	6	1	1	2	77
OG0001344	1	2	3	1	1	3	8	1	3	2	11	1	1	5	1	0	5	2	1	1	1	3	4	2	1	1	2	2	2	1	3	2	77
OG0001345	0	2	0	1	2	1	4	5	3	0	6	4	0	5	1	0	5	1	1	0	9	4	4	1	3	5	0	3	3	2	0	2	77
OG0001346	0	3	1	5	1	5	3	5	2	0	3	1	5	2	0	1	2	5	3	0	0	2	1	1	1	4	0	2	13	6	0	0	77
OG0001347	0	1	2	2	2	2	8	1	3	3	6	2	1	6	0	1	6	3	1	3	1	4	1	1	3	1	1	3	4	2	1	2	77
OG0001348	0	2	0	0	0	0	0	14	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	77
OG0001349	0	1	0	2	2	6	7	2	0	1	5	6	8	1	0	0	1	7	2	2	2	1	3	3	1	6	0	1	1	1	0	5	77
OG0001350	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	69	0	0	0	1	0	0	0	1	0	0	0	77
OG0001351	0	0	0	5	0	2	4	0	0	0	3	0	2	5	0	0	5	1	0	0	0	4	1	2	0	13	0	1	28	0	0	1	77
OG0001352	0	0	0	1	0	0	10	0	0	0	0	0	2	0	0	0	0	1	0	0	44	1	1	1	0	1	0	15	0	0	0	0	77
OG0001353	0	0	0	1	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	77
OG0001354	2	2	2	2	3	2	5	2	1	2	9	2	1	4	1	2	4	3	1	1	2	2	3	3	1	2	2	1	2	1	3	3	76
OG0001355	3	3	1	2	2	1	3	1	2	4	10	2	2	2	2	2	2	1	2	2	5	2	1	2	2	3	2	1	3	2	2	2	76
OG0001356	19	2	1	2	1	1	6	1	1	3	5	3	1	2	0	1	2	2	1	2	1	3	3	1	1	1	1	2	1	2	1	3	76
OG0001357	3	1	0	3	2	2	4	1	1	1	10	3	2	6	3	1	6	3	1	3	2	2	2	0	2	3	1	0	3	1	4	0	76
OG0001358	1	1	4	1	1	1	4	5	5	2	8	2	1	8	1	1	8	1	1	1	1	3	2	2	1	1	1	2	1	1	3	1	76
OG0001359	2	0	0	0	1	3	1	0	0	0	0	1	2	0	0	0	0	7	0	10	8	0	0	5	0	6	0	1	29	0	0	0	76
OG0001360	2	2	2	4	3	2	2	2	4	2	8	3	1	4	1	2	4	2	1	3	3	3	0	3	1	2	1	2	2	1	2	2	76
OG0001361	6	1	2	2	2	1	3	1	1	0	7	3	2	3	3	2	3	5	0	2	3	3	1	2	1	4	2	2	3	2	2	2	76
OG0001362	1	0	2	1	0	1	7	1	1	1	17	1	1	8	1	1	8	1	1	2	2	6	2	1	1	1	1	2	1	1	1	1	76
OG0001363	1	1	0	1	2	1	5	2	0	0	29	2	1	6	0	0	6	2	1	2	2	3	1	1	1	2	0	1	0	1	1	1	76
OG0001364	1	1	3	1	1	3	4	1	1	8	9	1	1	7	1	1	7	1	1	2	2	2	3	4	1	2	1	2	1	1	1	1	76
OG0001365	1	2	4	1	1	1	9	3	1	4	7	2	2	6	2	1	6	1	1	1	2	2	1	1	2	1	1	3	2	1	1	3	76
OG0001366	1	1	2	1	2	1	7	1	2	2	10	1	1	9	1	0	9	2	1	1	1	2	2	5	1	1	1	1	2	1	1	3	76
OG0001367	0	2	2	1	5	1	4	2	2	2	3	2	1	3	0	1	3	3	2	0	3	4	5	2	1	5	1	3	1	2	1	9	76
OG0001368	0	1	1	1	1	0	5	2	2	3	22	0	0	10	0	1	10	0	3	0	0	3	2	2	1	2	1	0	1	1	1	0	76
OG0001369	0	2	0	1	1	0	2	11	5	3	9	4	1	5	1	1	5	3	4	3	1	1	1	3	2	1	0	1	1	3	1	0	76
OG0001370	0	2	0	2	1	1	10	1	4	0	11	2	1	12	0	0	12	2	1	1	1	3	1	0	2	1	1	0	2	2	0	0	76
OG0001371	0	2	4	1	0	1	5	3	1	1	9	2	2	2	0	0	2	2	2	3	2	2	1	7	4	2	0	4	1	2	5	4	76
OG0001372	0	1	1	1	3	3	13	1	3	2	7	3	1	7	0	0	7	2	1	0	2	4	1	2	1	3	0	4	2	1	0	0	76
OG0001373	0	0	9	9	0	16	0	1	0	3	0	3	1	0	1	0	0	18	0	5	0	0	0	0	0	1	0	0	0	0	0	9	76
OG0001374	0	0	0	0	0	25	0	0	0	0	0	27	4	0	2	0	0	14	0	1	3	0	0	0	0	0	0	0	0	0	0	0	76
OG0001375	0	0	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	50	0	0	0	0	0	0	0	0	0	76
OG0001376	0	0	0	0	0	0	9	0	0	0	29	0	0	13	0	0	13	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	76
OG0001377	6	2	0	1	0	1	6	1	1	3	11	1	1	6	0	3	6	1	2	1	2	4	1	2	3	1	2	2	1	1	1	2	75
OG0001378	5	2	1	2	4	3	5	1	1	1	3	4	3	3	3	0	3	3	1	3	2	1	1	1	2	4	1	2	4	1	4	1	75
OG0001379	6	1	2	0	1	1	5	2	1	2	4	3	2	2	2	2	2	3	2	4	2	2	2	4	1	2	2	2	4	1	1	5	75
OG0001380	2	1	2	1	2	1	5	1	2	1	14	1	1	5	2	1	5	1	1	1	3	1	1	1	1	1	1	2	2	5	1	6	75
OG0001381	4	0	1	2	5	1	6	1	0	2	10	3	2	5	1	0	5	3	0	2	2	4	3	3	0	2	0	2	4	0	1	1	75
OG0001382	4	1	2	4	0	6	0	2	2	6	0	7	7	0	3	0	0	6	1	1	4	0	0	4	2	1	1	2	3	2	1	3	75
OG0001383	2	1	1	1	2	1	6	0	1	2	11	1	0	6	1	3	6	1	1	1	2	6	0	2	2	1	5	3	3	1	1	1	75
OG0001384	2	0	3	1	1	2	1	1	3	0	7	3	2	4	2	2	4	3	3	1	6	3	1	5	2	3	2	2	2	2	1	1	75
OG0001385	5	1	0	1	1	1	2	3	1	0	5	9	0	3	2	0	3	2	1	2	1	3	1	1	2	15	1	4	3	1	1	0	75
OG0001386	1	3	1	3	2	2	4	1	2	3	7	5	1	3	2	1	3	4	2	2	3	3	1	2	1	1	1	2	2	5	1	1	75
OG0001387	1	0	0	0	0	22	0	0	0	0	0	7	14	0	0	0	0	18	0	2	1	0	0	0	0	10	0	0	0	0	0	0	75
OG0001388	1	2	2	1	1	1	6	1	1	3	13	4	1	5	1	1	5	0	2	2	1	3	2	1	1	1	1	3	3	2	1	3	75
OG0001389	3	1	4	1	2	1	8	1	3	6	7	3	1	2	2	0	2	1	0	2	2	3	4	1	3	2	0	2	5	1	1	1	75
OG0001390	1	0	1	1	1	2	2	1	1	2	16	4	2	5	1	1	5	4	0	0	4	3	1	7	0	2	1	2	2	0	1	2	75
OG0001391	5	2	2	2	2	1	5	2	2	2	5	2	2	4	2	2	5	2	1	2	2	2	0	2	3	1	2	3	2	2	2	2	75
OG0001392	1	6	5	2	2	1	2	1	6	1	11	3	2	6	1	1	6	3	1	0	1	0	1	0	4	2	1	0	2	2	1	0	75
OG0001393	1	1	1	2	3	1	5	1	2	4	7	1	5	5	1	0	5	3	0	2	2	2	2	2	1	2	1	7	3	1	1	1	75
OG0001394	3	2	2	2	1	2	3	4	2	1	4	2	1	4	1	2	4	2	2	3	2	3	3	2	2	3	2	3	3	2	1	2	75
OG0001395	2	0	0	1	1	1	10	1	0	2	10	3	1	8	1	1	8	2	0	4	1	2	2	2	0	2	1	3	2	0	1	3	75
OG0001396	1	0	1	2	1	1	10	1	0	3	12	3	1	7	0	2	7	2	0	1	3	4	3	1	0	1	2	1	1	0	1	3	75
OG0001397	1	2	0	2	1	2	2	2	1	0	7	3	2	7	1	1	7	7	0	2	3	2	3	2	1	1	1	2	4	2	2	2	75
OG0001398	1	1	7	1	1	1	9	2	1	4	8	2	1	4	2	0	4	4	1	1	2	4	1	1	1	2	0	1	3	1	2	2	75
OG0001399	0	5	4	1	1	0	5	5	8	1	4	3	2	5	0	0	5	2	2	0	4	2	3	1	2	1	0	3	3	3	0	0	75
OG0001400	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	1	0	0	0	0	43	0	0	75
OG0001401	0	2	1	1	2	3	6	2	3	4	5	2	0	4	1	0	4	2	2	0	5	4	3	10	2	1	0	1	2	2	0	1	75
OG0001402	0	1	5	2	3	1	2	7	3	3	9	2	2	4	2	0	4	2	1	2	2	1	1	3	1	2	0	4	1	1	0	4	75
OG0001403	0	0	0	0	0	0	16	0	0	1	13	0	0	16	0	0	16	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	75
OG0001404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	1	0	0	1	0	0	64	75
OG0001405	30	0	0	2	1	1	1	1	0	2	7	4	1	2	0	1	2	4	0	1	2	2	1	1	2	2	1	1	0	0	1	1	74
OG0001406	63	1	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	74
OG0001407	6	0	6	10	0	5	1	0	0	0	3	4	3	2	0	1	2	7	0	1	2	2	0	6	0	4	2	0	6	0	0	1	74
OG0001408	15	0	1	6	1	2	0	0	0	3	0	3	21	0	0	7	0	5	0	0	2	0	0	0	0	3	4	0	1	0	0	0	74
OG0001409	19	0	0	2	1	1	5	1	0	1	0	2	0	0	0	2	0	4	0	1	0	1	0	1	0	2	2	2	0	0	1	26	74
OG0001410	1	2	1	2	2	2	3	13	2	2	5	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	74
OG0001411	2	2	2	2	2	2	5	2	2	1	6	2	2	2	3	1	2	2	1	4	3	2	2	2	2	2	2	3	1	2	2	4	74
OG0001412	1	2	1	1	3	2	1	1	2	2	2	4	3	2	4	1	2	4	1	3	2	1	2	1	3	1	1	11	6	1	1	2	74
OG0001413	1	2	2	2	2	2	2	2	2	2	3	3	3	4	1	3	4	5	1	3	2	2	0	4	2	1	2	2	4	2	2	2	74
OG0001414	1	1	2	1	1	1	12	1	1	4	4	3	1	6	1	1	6	2	1	1	2	2	2	9	1	1	1	1	2	1	1	0	74
OG0001415	1	1	0	4	2	2	6	1	6	1	9	2	2	6	0	1	6	2	1	2	2	3	2	2	1	1	1	4	1	1	1	0	74
OG0001416	14	0	0	18	0	10	1	0	0	0	0	4	4	0	0	0	0	0	0	1	0	0	0	2	0	16	0	0	2	2	0	0	74
OG0001417	3	1	1	3	1	1	5	0	3	3	8	4	2	6	0	1	6	1	2	1	1	3	2	1	0	2	3	2	3	1	1	3	74
OG0001418	3	1	1	2	2	1	4	1	1	3	7	2	2	3	1	2	3	4	1	2	2	3	1	7	1	2	3	3	2	1	1	2	74
OG0001419	2	1	2	1	1	3	9	1	1	1	12	2	1	7	1	0	7	1	1	1	3	4	2	1	1	1	0	2	1	1	1	2	74
OG0001420	8	1	1	1	1	1	3	4	1	1	7	1	3	7	4	1	7	2	1	1	1	2	1	1	1	2	1	2	3	1	1	2	74
OG0001421	4	2	4	2	1	3	4	2	4	3	6	1	2	3	1	1	3	2	1	1	3	2	1	2	2	2	1	2	2	5	1	1	74
OG0001422	2	1	1	2	1	2	7	1	0	3	12	4	2	5	0	2	5	2	1	2	2	5	2	3	1	2	1	1	1	0	1	0	74
OG0001423	5	2	0	2	1	2	3	2	3	1	8	4	2	4	2	1	4	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	74
OG0001424	4	0	2	0	0	3	2	0	0	1	1	4	2	1	0	1	0	1	0	2	0	1	1	0	0	0	0	0	47	1	0	0	74
OG0001425	1	3	3	8	1	4	1	2	3	3	3	6	2	2	0	0	2	2	2	2	2	1	0	3	1	3	0	5	2	2	3	2	74
OG0001426	3	2	1	2	1	2	2	3	2	1	6	3	2	3	1	3	3	1	2	3	2	2	2	4	2	2	2	3	1	2	2	4	74
OG0001427	1	1	0	6	2	4	2	3	2	2	2	3	10	2	2	1	2	4	1	2	2	1	0	5	1	2	1	3	1	1	2	3	74
OG0001428	1	2	0	1	1	1	4	1	1	2	12	1	1	10	1	1	10	2	2	0	2	3	5	1	1	1	1	1	2	1	1	1	74
OG0001429	2	1	0	2	1	3	2	2	1	2	11	5	1	4	2	0	4	3	3	3	3	2	0	1	2	2	0	2	2	4	2	2	74
OG0001430	2	1	2	1	2	1	11	1	2	2	7	2	1	6	0	0	6	2	1	1	3	4	3	2	1	1	0	2	2	2	1	2	74
OG0001431	2	2	1	1	1	1	6	2	9	1	3	4	1	5	2	0	5	3	0	2	1	2	2	2	1	1	0	4	3	3	1	3	74
OG0001432	2	1	2	4	1	3	4	2	4	2	7	3	2	4	1	1	4	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	74
OG0001433	1	2	3	1	1	10	4	1	2	1	5	3	2	2	3	1	2	2	1	1	1	3	4	1	2	1	1	2	5	1	1	4	74
OG0001434	0	2	3	2	2	3	3	2	3	1	10	4	2	6	0	1	5	3	2	2	2	1	0	2	2	3	0	2	4	2	0	0	74
OG0001435	0	2	0	2	0	0	0	1	0	0	0	1	1	0	1	1	0	0	28	0	0	0	0	0	29	1	0	0	0	6	0	1	74
OG0001436	0	6	10	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	18	4	0	0	19	0	3	0	0	74
OG0001437	0	1	4	1	1	1	13	1	3	1	5	1	1	7	1	0	7	1	1	1	3	3	5	2	0	1	1	1	2	1	2	2	74
OG0001438	0	1	1	1	2	2	2	2	1	1	5	3	3	7	1	0	7	2	1	5	1	2	0	3	2	5	0	4	2	2	1	5	74
OG0001439	0	1	1	16	2	1	2	1	0	1	9	2	1	4	0	4	4	1	1	1	1	2	0	1	1	4	4	3	3	1	1	1	74
OG0001440	0	1	1	2	1	1	9	0	0	0	8	2	2	11	0	0	11	2	0	3	2	4	3	1	2	1	0	0	5	1	0	1	74
OG0001441	0	0	0	5	4	4	16	0	0	3	3	8	3	3	0	0	3	5	0	2	2	4	2	0	0	5	0	0	2	0	0	0	74
OG0001442	0	0	0	1	0	0	4	0	0	0	32	0	0	9	0	0	9	0	0	0	0	16	0	3	0	0	0	0	0	0	0	0	74
OG0001443	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	69	0	0	0	74
OG0001444	0	0	0	0	0	0	0	0	0	0	18	0	0	28	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74
OG0001445	6	1	0	2	1	3	4	1	0	2	5	6	2	1	1	4	1	7	1	3	2	2	1	2	0	3	2	3	3	1	1	2	73
OG0001446	1	1	2	2	2	1	5	3	1	1	17	1	2	3	1	0	3	2	1	3	3	3	1	2	1	3	1	1	2	1	1	2	73
OG0001447	1	1	0	1	1	1	3	1	1	2	7	2	1	13	1	1	13	1	1	1	2	4	1	4	1	1	1	1	2	1	1	1	73
OG0001448	1	2	1	1	2	2	4	1	1	1	7	3	1	7	2	2	7	3	1	3	2	3	2	2	1	2	2	1	2	0	2	2	73
OG0001449	4	0	0	10	1	6	0	1	0	3	1	5	5	1	1	1	1	6	1	8	2	0	0	0	0	6	1	0	7	0	2	0	73
OG0001450	1	2	2	2	2	2	2	2	3	3	9	4	2	3	1	1	3	2	2	1	2	3	3	2	2	2	2	2	2	1	2	1	73
OG0001451	1	2	1	1	2	1	2	2	2	2	6	3	3	4	1	2	4	5	2	2	1	2	1	5	1	1	3	2	5	2	1	1	73
OG0001452	1	0	0	3	1	1	9	1	1	1	14	1	1	4	1	0	4	3	1	2	2	3	3	1	2	4	1	2	3	1	1	1	73
OG0001453	2	4	10	2	1	4	1	1	5	0	8	2	1	1	0	2	1	5	3	2	2	0	2	2	3	2	2	0	2	1	1	1	73
OG0001454	8	2	1	2	1	1	3	2	2	2	7	6	1	4	1	1	4	0	1	2	1	2	1	3	2	2	3	2	2	2	1	1	73
OG0001455	3	1	1	2	1	2	5	1	2	2	5	1	2	3	1	1	3	6	1	3	4	2	3	4	1	1	0	3	2	1	3	3	73
OG0001456	2	2	4	2	1	1	8	1	1	3	6	3	2	6	0	0	6	1	2	5	2	3	0	3	1	1	0	2	2	1	1	1	73
OG0001457	1	1	1	1	2	1	3	1	2	1	14	1	1	8	1	1	8	3	1	2	1	1	1	2	3	1	1	1	4	1	1	2	73
OG0001458	2	2	0	3	1	1	7	3	1	0	12	3	3	6	1	0	6	3	0	2	2	3	2	3	0	1	0	0	1	3	2	0	73
OG0001459	1	2	2	2	1	1	5	1	1	3	9	3	1	8	1	0	8	2	2	2	1	3	1	1	1	1	1	1	2	3	2	1	73
OG0001460	1	2	1	1	2	1	1	1	1	0	7	3	1	4	1	1	4	15	3	2	1	2	0	1	2	4	1	3	1	5	0	1	73
OG0001461	2	1	3	2	2	2	4	1	1	3	6	2	2	6	2	1	6	3	0	1	2	3	3	3	1	2	1	1	3	1	1	2	73
OG0001462	1	1	3	1	1	1	3	1	1	1	3	6	6	3	1	1	3	7	1	1	0	2	0	1	2	1	1	4	14	1	1	0	73
OG0001463	1	3	2	1	1	1	7	1	2	1	14	2	1	5	1	0	5	3	0	2	1	6	1	1	1	2	0	4	1	2	1	0	73
OG0001464	1	3	2	2	2	1	2	0	1	3	12	4	0	8	1	0	8	2	1	3	1	3	1	1	1	2	0	3	3	1	0	1	73
OG0001465	1	1	1	1	1	1	3	2	3	1	11	4	1	9	2	0	9	2	2	1	2	2	1	2	0	1	0	2	3	2	1	1	73
OG0001466	1	2	1	1	1	1	9	1	1	3	5	1	1	4	1	2	5	2	1	2	3	5	2	6	2	1	2	2	1	1	1	2	73
OG0001467	0	4	2	3	2	2	2	5	5	3	5	3	2	3	0	0	3	3	4	0	3	2	3	2	3	1	0	3	1	4	0	0	73
OG0001468	0	2	0	2	7	2	1	0	2	1	6	5	3	5	2	0	5	3	2	2	3	4	1	1	2	2	0	1	3	2	2	2	73
OG0001469	0	1	1	1	1	1	8	1	1	1	15	1	1	7	1	1	7	1	1	1	1	5	2	2	1	1	1	1	2	2	1	2	73
OG0001470	0	1	0	1	1	1	5	1	2	0	11	2	1	13	1	0	13	1	1	1	1	4	1	1	1	2	0	2	2	0	0	3	73
OG0001471	0	0	0	16	12	0	0	0	0	5	0	6	0	0	0	0	0	0	0	1	0	0	0	3	0	19	0	0	10	0	1	0	73
OG0001472	0	0	0	1	0	1	11	2	1	0	15	1	1	11	0	0	11	1	0	0	1	7	4	0	0	0	0	0	1	4	0	0	73
OG0001473	0	0	0	0	0	0	4	0	0	0	10	0	0	29	0	0	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	73
OG0001474	0	0	0	0	0	0	0	0	0	0	33	0	0	6	0	0	6	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	73
OG0001475	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	52	73
OG0001476	1	1	1	1	6	3	0	2	4	3	3	2	1	7	0	0	7	3	1	3	3	1	1	3	1	1	0	6	2	1	1	3	72
OG0001477	16	2	1	2	1	3	3	2	1	2	2	4	2	1	1	0	1	4	1	3	1	2	1	3	1	2	2	2	3	2	1	0	72
OG0001478	32	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	35	72
OG0001479	28	1	0	1	1	1	1	0	6	1	1	1	1	5	2	1	5	1	1	1	2	1	1	1	0	1	1	1	2	1	1	1	72
OG0001480	9	2	2	2	5	1	4	3	1	3	3	3	2	3	2	1	3	4	0	0	4	1	1	0	2	1	2	4	2	2	0	0	72
OG0001481	3	2	1	1	1	1	6	1	1	1	4	4	1	5	1	0	4	2	0	1	3	2	4	2	2	5	0	3	5	2	2	2	72
OG0001482	6	3	1	1	1	1	5	0	2	2	10	2	2	3	1	1	3	1	0	1	3	6	2	3	1	2	1	3	1	1	0	3	72
OG0001483	6	1	1	3	1	2	2	1	1	2	13	2	1	3	2	3	3	2	1	2	2	2	1	1	1	1	2	4	1	1	2	2	72
